Ax,Ay,Az,Gx,Gy,Gz
1.0342,-0.2844,-0.01,2.4733,-0.3282,-7.9389
1.0352,-0.2786,-0.0078,2.6718,-0.1985,-7.7328
1.0288,-0.2864,-0.0095,2.7252,-0.8931,-7.6412
1.0327,-0.2871,-0.0071,2.5649,-0.7328,-8.2824
1.0322,-0.2925,-0.0103,2.4427,-0.2901,-7.2366
1.0347,-0.2964,-0.0227,2.6412,-0.7176,-6.8931
1.0356,-0.2925,-0.0132,2.7099,-0.6718,-7.2595
1.0337,-0.2871,-0.0044,2.4733,-0.2366,-7.1832
1.0337,-0.2861,-0.0046,2.5344,-0.4351,-7.0687
1.0254,-0.2944,-0.0132,2.542,-0.5267,-7.1374
1.03,-0.2861,-0.011,2.6641,-0.2672,-7.5115
1.0278,-0.2825,-0.0044,2.4962,-0.2137,-7.374
1.0308,-0.2896,-0.0159,2.5496,-0.4656,-6.9924
1.0398,-0.2935,-0.0181,2.542,-0.2824,-7.9847
1.0295,-0.2898,-0.0063,2.5191,-0.3435,-7.8321
1.0337,-0.2915,-0.0129,2.5191,-0.8244,-7.1756
1.0361,-0.2969,-0.0144,2.6412,-0.6718,-7.1221
1.0369,-0.2966,-0.0156,2.6718,-0.4656,-8.1221
1.0303,-0.2878,-0.0039,2.6031,-0.6489,-7.2214
1.0332,-0.2888,-0.0127,2.6794,-0.5878,-6.8168
1.0305,-0.2861,-0.0071,2.6794,-0.4504,-7.1298
1.0288,-0.2866,-0.0024,2.5115,-0.3053,-7.5725
1.0295,-0.2812,0.0,2.5954,-0.2977,-6.8244
1.0295,-0.2852,-0.0107,2.5649,-0.2977,-7.6336
1.0354,-0.2815,-0.0105,2.5573,-0.3435,-7.9847
1.0291,-0.2812,-0.0071,2.4351,-0.3588,-7.2443
1.0371,-0.2888,-0.0149,2.7481,-0.4351,-7.8626
1.0288,-0.2854,-0.0105,2.7023,-0.2214,-8.1145
1.0315,-0.2976,-0.0081,2.6336,-0.3206,-7.6031
1.0283,-0.2883,-0.0151,2.6412,-0.6031,-7.7252
1.033,-0.29,-0.012,2.7939,-0.313,-7.1527
1.0269,-0.2927,-0.0139,2.5344,-0.4046,-7.2595
1.0286,-0.2854,-0.0203,2.6794,-0.5802,-7.2061
1.0339,-0.2996,-0.012,2.5573,-0.6336,-6.7328
1.0286,-0.2861,-0.0005,2.5267,-0.2443,-7.8855
1.0286,-0.2859,-0.0083,2.5954,-0.5115,-6.7405
1.0317,-0.2961,-0.0061,2.6641,-0.5878,-6.9389
